State,class
"w.Y0Y.z.Z,Z0z00Z.Z.Z.Z.Z.W*W.",Normal-Grill
z*z0,Normal-Grill
Z.Z*z+W.z.F.W.W.Z*z0W.w.W.Z00Z.Z.z.Z.Z.Z.,Normal-Grill
z.Z00,Normal-Grill
"I.Z.X*Z.Z*z*z*W0W+W.F.W.W.W.w.W.W.w.W.W.Z*Z,",Normal-Grill
z*z0,Normal-Grill
Z0W.Z*z0Z*,Normal-Grill
Z.Z.Z000,Normal-Grill
z.Z*z*z*,Normal-Grill
z.z.Z.z.Z.Z.Z+Z.Z.z.z.z.Z00z*,Normal-Grill
z*Z*,Normal-Grill
"w.Z,Z*W.Z0z0",Normal-Grill
Y*Z.Z0Z.W0W.F.f.Z000,Normal-Grill
Z*,Normal-Grill
W.Z00W*W.,Normal-Grill
0000Z*,Normal-Grill
i0i0i0i0i0,Normal-Grill
0W*W.w.Z+Z000,Normal-Grill
Z.,Normal-Grill
"Z.Z.Z*z*z*Z.Z0Z.Z,Z0Z.z.",Normal-Grill
"W+W.W+W.W*W.W+W.W.w.W.Z*Z.W+W0W.W.W.W00W.W*W.W*W.W,W.W,W.",Normal-Grill
F.,Normal-Grill
z.,Normal-Grill
i0i0i0i0i0,Normal-Grill
w.F.f.i.,Normal-Grill
Y.Y0y00,Normal-Grill
"Y0Y,Y*Y,Y.",Normal-Grill
"w.F.F.F.Z0W.w.w.W.W.Z,W.W.W.W.w.Z+Z.Z.i.Z.Z.Z0W.W.W.W.F.",Normal-Grill
I.Z.z.y.W.Z00Z.I.Z.Z.Z.,Normal-Grill
Z00W.,Normal-Grill
"Y,X00",Normal-Grill
i.Z00Z.Y00Y.,Normal-Grill
Y.y.Y.H.,Normal-Grill
W.,Normal-Grill
Z.Z.Z.z.W00W.W.I.w.W.,Normal-Grill
Z.Z.z.Z.Z00Z.z.I.i.Z.,Normal-Grill
W00W.Z+,Normal-Grill
"Y+X,",Normal-Grill
W.F.W.w.,Normal-Grill
"V.y.Y.V.X,x+X,X.X+X00",Normal-Grill
"X.x.V00V.v.X+X,X*X.X,y,V.E.X+x,",Normal-Grill
X+X00,Normal-Grill
F.,Normal-Grill
z.Z.,Normal-Grill
Z.Z.Z.Z.,Normal-Grill
"W.w.Y.W.W.W.F.w.W.W.X,",Normal-Grill
W.Y.W.W.,Normal-Grill
Z.Z.Z.z.,Normal-Grill
"Y00Y,Y.Y+Y00",Normal-Grill
Z.i.I.I.,Normal-Grill
"X.Y,y+Y.X*x*y+y+W.H.w.w.F.X,F,Y.",Normal-Grill
h.Y.Y.y.Y.H.y.Y.Y.H.H.H.Y.Y.Y.Y.Y.H.Y.Y.Y.Y.y.y.y.Y.Y.y.y.H.y.Y.Y.H.y.y.Y.Y.,Normal-Grill
"Z.F.W.W.Y,Y.Y.Y.",Normal-Grill
Z.z.,Normal-Grill
Z.,Normal-Grill
"0X.X.X,X.Y,W.W.X+X.",Normal-Grill
Z.z.z.z.,Normal-Grill
"I+i+I+i+i+z+z,z,Z+z+I+i+I+I+i+i+I+z+I+i+I+z*z+i+I+I+I+I+I+I+I+I+z+I+z+I+z+z+",Normal-Grill
z.w.W.W.,Normal-Grill
W.,Normal-Grill
S0s0,Botnet-TCP-Attempt-SPAM
s0,Botnet-TCP-Attempt-SPAM
V0,Botnet-UDP-DNS
W00,Botnet-UDP-DNS
W*W.,Botnet-TCP-Attempt-SPAM
u*r0U+,Botnet-UDP-DNS
s*s*s0,Botnet-TCP-Attempt-SPAM
0S*,Botnet-TCP-Attempt-SPAM
B0s*,Botnet-TCP-Attempt-SPAM
S*s0,Botnet-TCP-Attempt-SPAM
0s*,Botnet-TCP-Attempt-SPAM
r*b*,Botnet-TCP-Attempt-SPAM
s0B0,Botnet-TCP-Attempt-SPAM
0V*v0,Botnet-TCP-Attempt-SPAM
s*,Botnet-TCP-Attempt-SPAM
s+,Botnet-TCP-Attempt-SPAM
s0S*,Botnet-TCP-Attempt-SPAM
s0S*,Botnet-TCP-Attempt-SPAM
s*s*S+s*,Botnet-TCP-Attempt-SPAM
B*s0,Botnet-TCP-Attempt-SPAM
V00,Botnet-TCP-Attempt-SPAM
S*,Botnet-TCP-Attempt-SPAM
S000,Botnet-TCP-Attempt-SPAM
v*V00,Botnet-TCP-Attempt-SPAM
s0,Botnet-TCP-Attempt-SPAM
v+,Botnet-TCP-Attempt-SPAM
s*S0,Botnet-TCP-Attempt-SPAM
s*,Botnet-TCP-Attempt-SPAM
S+S*A*S00,Botnet-TCP-Attempt-SPAM
s0,Botnet-TCP-Attempt-SPAM
S000,Botnet-TCP-Attempt-SPAM
00s*,Botnet-TCP-Attempt-SPAM
s0S*,Botnet-TCP-Attempt-SPAM
s*S00,Botnet-TCP-Attempt-SPAM
V0,Botnet-TCP-Attempt-SPAM
s00S*,Botnet-TCP-Attempt-SPAM
S+,Botnet-TCP-Attempt-SPAM
S000,Botnet-TCP-Attempt-SPAM
B*b*s*,Botnet-TCP-Attempt-SPAM
B*,Botnet-TCP-Attempt-SPAM
00S*,Botnet-TCP-Attempt-SPAM
"S*B*s+S*B*S,S+s*S,S*s*s*s*s*B*S+S*s+s,S,S*S,S*",Botnet-TCP-Attempt-SPAM
s0S*S0s*,Botnet-TCP-Attempt-SPAM
s00s*,Botnet-TCP-Attempt-SPAM
s00,Botnet-TCP-Attempt-SPAM
00S+,Botnet-TCP-Attempt-SPAM
"s,",Botnet-TCP-Attempt-SPAM
S0S*s*,Botnet-TCP-Attempt-SPAM
Z0Z+Z0Z.Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z*Z0Z+,Botnet-UDP-DNS
00,Botnet-TCP-Attempt-SPAM
s*,Botnet-TCP-Attempt-SPAM
"Z,Y*U.Z*Z*z+Z*Z+Z*Z*Z.Z*z+W*z*Z*Z.Z*Z,z+z+",Botnet-UDP-DNS
s*,Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
S00,Botnet-TCP-Attempt-SPAM
R00,Botnet-UDP-DNS
A*r0,Botnet-UDP-DNS
R+W0,Botnet-UDP-DNS
s00S*B*s+s*B*,Botnet-TCP-Attempt-SPAM
B*B*,Botnet-TCP-Attempt-SPAM
B*s*s*B*,Botnet-TCP-Attempt-SPAM
"0S+S*S,s,S+S,S*S+",Botnet-TCP-Attempt-SPAM
0S*,Botnet-TCP-Attempt-SPAM
s+T*b*s00,Botnet-TCP-Attempt-SPAM
S00s*,Botnet-TCP-Attempt-SPAM
s0s*s*s*,Botnet-TCP-Attempt-SPAM
S*s0s*S+S*,Botnet-TCP-Attempt-SPAM
s00,Botnet-TCP-Attempt-SPAM
S0S*,Botnet-TCP-Attempt-SPAM
s*s0,Botnet-TCP-Attempt-SPAM
s*,Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
".Z,s,z,Z.S.w.S,s,z,z,I,W,z,y,z,z,s,W.z,i,B,z.z,s.S.S.Z.Z,Z.z.S,s,I,s,z,y.t,s",Botnet-TCP-Attempt-SPAM
"i+z,Z.Z,B,S.Z,Z.z.Z.Z,s,z,Z.S.w.S,s,z,z,I,W,z,y,z,z,s,W.z,i,B,z.z,s.S.S.Z.Z,",Botnet-TCP-CC-HTTP-Not-Encrypted
Z00,Botnet-UDP-Attempt-DNS
Z00Z+,Botnet-UDP-Attempt-DNS
e+e+E+E+E+E+E+E+v*v*v0,Botnet-TCP-Established
s0,Botnet-UDP-DNS
S*S.S*,Botnet-TCP-Attempt-SPAM
V00,Botnet-UDP-DNS
S00,Botnet-UDP-DNS
00V*,Botnet-UDP-DNS
s*,Botnet-TCP-Attempt-SPAM
R0,Botnet-UDP-Attempt-DNS
"y,y,h,H,i,y,H,z,y,z,y,y,z,H,y,y,h,z,z,H,y,y,y,y,y,z,y,y,y,y,y,y,y,z,y,y,y,y,",Botnet-TCP-Established-HTTP-Ad
S*S.S*S.,Botnet-TCP-Attempt-SPAM
"S*S,S*S.",Botnet-TCP-Attempt-SPAM
"y+y*Y,Y+Y.s,Y+V,Y*Y,Y+y*y*Y0Y,Y,y,y,Y0Y,Y*Y,y.y.Y+Y,y,y.y,h,",Botnet-TCP-Attempt-SPAM
"y+y*Y,Y+Y.s,Y+V,Y*Y,Y+y*y*Y0Y,Y,y,y,Y0Y,Y*Y,y.y.Y+Y,y,y.y,h,",Botnet-TCP-Established-HTTP-Ad
S00,Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
V*V0E0,Botnet-TCP-Attempt-SPAM
"S,S*s0",Botnet-TCP-Attempt-SPAM
"W*S,S*",Botnet-TCP-Attempt-SPAM
r0,Botnet-UDP-DNS
S*w+s*S00W+B*,Botnet-TCP-Attempt-SPAM
W00R+,Botnet-UDP-DNS
B*F*B*,Botnet-TCP-Attempt-SPAM
v*v00,Botnet-TCP-Attempt-SPAM
U0U*,Botnet-UDP-DNS
"S*S,S*",Botnet-TCP-Attempt-SPAM
Z0Z+Z0Z+,Botnet-UDP-Attempt-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
U00,Botnet-UDP-DNS
S*s+s*s+,Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
v00,Botnet-TCP-Attempt-SPAM
s0S+s*s*s*B*s*B*,Botnet-TCP-Attempt-SPAM
s*,Botnet-TCP-Attempt-SPAM
s0,Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
S00s0s*,Botnet-TCP-Attempt-SPAM
i+Z0i0i0,Botnet-TCP-Established
S00,Botnet-TCP-Attempt-SPAM
B0,Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
S000,Botnet-TCP-Attempt-SPAM
s0,Botnet-TCP-Attempt-SPAM
R000,Botnet-TCP-Attempt-SPAM
s*s*,Botnet-TCP-Attempt-SPAM
B*,Botnet-TCP-Attempt-SPAM
I*v0,Botnet-UDP-DNS
S000S*,Botnet-TCP-Attempt-SPAM
"S,S,",Botnet-TCP-Attempt-SPAM
W*,Botnet-TCP-Attempt-SPAM
S+s+,Botnet-TCP-Attempt-SPAM
U00,Botnet-UDP-DNS
"W00R,",Botnet-UDP-Attempt-DNS
"W00R,",Botnet-UDP-DNS
S*W.S*,Botnet-TCP-Attempt-SPAM
S*,Botnet-TCP-Attempt-SPAM
"S*S,S*S.",Botnet-TCP-Attempt-SPAM
W*W.,Botnet-TCP-Attempt-SPAM
Z0,Botnet-UDP-DNS
w0,Botnet-UDP-DNS
B*,Botnet-TCP-Attempt-SPAM
B*,Botnet-TCP-Attempt-SPAM
V*E*,Botnet-TCP-Attempt-SPAM
u00,Botnet-UDP-DNS
v00,Botnet-UDP-DNS
"W*S,S*",Botnet-TCP-Attempt-SPAM
S0,Botnet-TCP-Attempt-SPAM
s*,Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
S*S*,Botnet-TCP-Attempt-SPAM
Z0y*Z0Z+,Botnet-UDP-DNS
Z0Z.Z0Z*,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
Z0Z.Z0Z+,Botnet-UDP-Attempt-DNS
Z0Z.Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
R00R*,Botnet-UDP-DNS
Z0Z+Z0Z+Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z.Z0Z+,Botnet-UDP-DNS
W00,Botnet-UDP-DNS
W0R*,Botnet-UDP-DNS
Z0Z.Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z.Z0Z+,Botnet-UDP-DNS
Z0Z.Z0Z+,Botnet-UDP-DNS
0V+,Botnet-UDP-DNS
z*z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
F*v0R*,Botnet-UDP-DNS
W0Z.Z0Z+,Botnet-UDP-DNS
z*z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+Z0Z*,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
W0Z+Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
u0,Botnet-UDP-DNS
W0,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
S*w+s*,Botnet-TCP-Attempt-SPAM
r0,Botnet-UDP-DNS
u00R*,Botnet-UDP-DNS
Z0Z+,Botnet-UDP-DNS
z*v0Z*,Botnet-UDP-Attempt-DNS
z*v0Z*,Botnet-UDP-DNS
z*V0Z*,Botnet-UDP-DNS
s+,Botnet-TCP-Attempt-SPAM
Z0Z+Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
R00,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
"b,",Botnet-TCP-Attempt-SPAM
S00,Botnet-TCP-Attempt-SPAM
y*r0,Botnet-UDP-DNS
U00,Botnet-UDP-DNS
U00,Botnet-UDP-DNS
Z0,Botnet-UDP-DNS
W00,Botnet-UDP-DNS
"u*w0W,",Botnet-UDP-DNS
Z0Z.Z0z*,Botnet-UDP-Attempt-DNS
Z0Z.Z0z*,Botnet-UDP-DNS
W00S*,Botnet-UDP-DNS
"S+S,W*S.S+S.S*S,s+W*S.S,s,s,",Botnet-TCP-Attempt-SPAM
U00,Botnet-UDP-Attempt-DNS
U00,Botnet-UDP-DNS
U00W*,Botnet-UDP-Attempt-DNS
U00W*,Botnet-UDP-DNS
V00U*,Botnet-UDP-Attempt-DNS
V00U*,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-Attempt-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
"S,s.S*S,s,s.S*s+",Botnet-TCP-Attempt-SPAM
W00,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-Attempt-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
r*w0W+,Botnet-UDP-DNS
s+s*W00,Botnet-TCP-Attempt-SPAM
"S*S,S*",Botnet-TCP-Attempt-SPAM
W+S0s*,Botnet-TCP-Attempt-SPAM
y*y0y*y0Y.,Botnet-TCP-Established-HTTP-Ad
"v,S*V.v.R*Z.V.R*V.v.R*Y.V.R0Z.R0Y.v.R*Y.Y.R+Y,r.Z.Z.",Botnet-TCP-Established-HTTP-Ad
"Z.Y*y+z+Y*z*y*y*h*y0h*y*Y.Z+Z,Z+y+z+z+",Botnet-TCP-Established-HTTP-Ad
"Y+z+z+y*y+z+y+z+y*Z,z+y*y+I+Z*Z0Z,Y+y,Z0Z+h+Z*y+",Botnet-TCP-Established-HTTP-Ad-yieldmanager
I*Z*y*Z0i0,Botnet-TCP-WEB-Established
"y*h*H*y*z0z*z*y*Z.Y,Y+H+",Botnet-TCP-Established-HTTP-Ad
"E.R*Z,W.R*V.R*r0Y.V.Z0Z.",Botnet-TCP-Established-HTTP-Ad
"I*z+y*z*z*z*Y+Z0I0Z*Z,Z*Z.",Botnet-TCP-Established-HTTP-Ad
H0I0Z+,Botnet-TCP-WEB-Established
z*u0W+,Botnet-UDP-DNS
Z00U+,Botnet-UDP-DNS
s*s*s*s*,Botnet-TCP-Attempt-SPAM
U00R*,Botnet-UDP-DNS
S*S.S*W+,Botnet-TCP-Attempt-SPAM
w0,Botnet-UDP-DNS
S*,Botnet-TCP-Attempt-SPAM
0R*,Botnet-UDP-DNS
s*s+s*,Botnet-TCP-Attempt-SPAM
I*w0Z*,Botnet-UDP-Attempt-DNS
I*w0Z*,Botnet-UDP-DNS
R0,Botnet-UDP-DNS
S*w+s*,Botnet-TCP-Attempt-SPAM
Z0Z.W0Z+,Botnet-UDP-Attempt-DNS
Z0Z.W0Z+,Botnet-UDP-DNS
w*z0W*,Botnet-UDP-Attempt-DNS
w*z0W*,Botnet-UDP-DNS
u00,Botnet-UDP-DNS
W0V*W0Z+,Botnet-UDP-DNS
U00R*,Botnet-UDP-Attempt-DNS
U00R*,Botnet-UDP-DNS
s0,Botnet-UDP-DNS
B*,Botnet-TCP-Attempt-SPAM
y0W*,Botnet-UDP-DNS
B*,Botnet-TCP-Attempt-SPAM
Z0w*Z0Z*,Botnet-UDP-Attempt-DNS
Z0w*Z0Z*,Botnet-UDP-DNS
W00U+,Botnet-UDP-DNS
U00,Botnet-UDP-DNS
"S00S,B,",Botnet-TCP-Attempt-SPAM
W00,Botnet-UDP-DNS
R00,Botnet-UDP-DNS
0R*,Botnet-UDP-DNS
U0,Botnet-UDP-DNS
R*,Botnet-UDP-DNS
"S*s0B0S*s*S,",Botnet-TCP-Attempt-SPAM
S*S.S*,Botnet-TCP-Attempt-SPAM
B*w*S+,Botnet-TCP-Attempt-SPAM
v0,Botnet-UDP-DNS
S000S*s*,Botnet-TCP-Attempt-SPAM
U0,Botnet-UDP-DNS
"I,z+z,Z0",Botnet-TCP-Established-HTTP-Binary-Download
S*S.S*S.,Botnet-TCP-Attempt-SPAM
W*S.S*,Botnet-TCP-Attempt-SPAM
r00,Botnet-UDP-Attempt-DNS
r00,Botnet-UDP-DNS
Z0Z+Z0Z.Z0Z+,Botnet-UDP-DNS
S*S.S*S.,Botnet-TCP-Attempt-SPAM
W0W+U0,Botnet-UDP-DNS
w*w0W*,Botnet-UDP-DNS
w*z0V*,Botnet-UDP-DNS
v*w0U*,Botnet-UDP-DNS
b*s0S*,Botnet-TCP-Attempt-SPAM
w00W+,Botnet-UDP-DNS
W00W+,Botnet-UDP-Attempt-DNS
W00W+,Botnet-UDP-DNS
R00,Botnet-UDP-DNS
s*,Botnet-TCP-Attempt-SPAM
Z0Z+Z0Z+,Botnet-UDP-DNS
S*s*s0,Botnet-TCP-Attempt-SPAM
