State,class,tokenize_with_padding,tokenize_no_padding
W0W.f.W.W.w,0,"[33, 37, 33, 47, 6, 47, 33, 47, 33, 47]","[33, 37, 33, 47, 6, 47, 33, 47, 33, 47, 24]"
+W.W.Y*W.F.,0,"[49, 33, 47, 33, 47, 35, 50, 33, 47, 15]","[49, 33, 47, 33, 47, 35, 50, 33, 47, 15, 47]"
y.,0,"[26, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[26, 47]"
Z.Z.Z.z.z.Z,0,"[36, 47, 36, 47, 36, 47, 27, 47, 27, 47]","[36, 47, 36, 47, 36, 47, 27, 47, 27, 47, 36]"
"Z.Z.Z,Z.I.Z",0,"[36, 47, 36, 47, 36, 48, 36, 47, 18, 47]","[36, 47, 36, 47, 36, 48, 36, 47, 18, 47, 36]"
.Z+Z.Z.z.Z.,0,"[47, 36, 49, 36, 47, 36, 47, 27, 47, 36]","[47, 36, 49, 36, 47, 36, 47, 27, 47, 36, 47]"
"+Z.I.z.Z,Z.",0,"[49, 36, 47, 18, 47, 27, 47, 36, 48, 36]","[49, 36, 47, 18, 47, 27, 47, 36, 48, 36, 47]"
W.W.w.W.Z.,0,"[33, 47, 33, 47, 24, 47, 33, 47, 36, 47]","[33, 47, 33, 47, 24, 47, 33, 47, 36, 47]"
F.Z.W*w*w*W,0,"[15, 47, 36, 47, 33, 50, 24, 50, 24, 50]","[15, 47, 36, 47, 33, 50, 24, 50, 24, 50, 33]"
.f.W*Z.W.W.,0,"[47, 6, 47, 33, 50, 36, 47, 33, 47, 33]","[47, 6, 47, 33, 50, 36, 47, 33, 47, 33, 47]"
Z000,0,"[36, 37, 37, 37, 0, 0, 0, 0, 0, 0]","[36, 37, 37, 37]"
Z.z.I.I.,0,"[36, 47, 27, 47, 18, 47, 18, 47, 0, 0]","[36, 47, 27, 47, 18, 47, 18, 47]"
0I00,0,"[37, 18, 37, 37, 0, 0, 0, 0, 0, 0]","[37, 18, 37, 37]"
W.,0,"[33, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 47]"
"V.W,W.e.",0,"[32, 47, 33, 48, 33, 47, 5, 47, 0, 0]","[32, 47, 33, 48, 33, 47, 5, 47]"
i0i0,0,"[9, 37, 9, 37, 0, 0, 0, 0, 0, 0]","[9, 37, 9, 37]"
f0,0,"[6, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 37]"
Z*Z.,0,"[36, 50, 36, 47, 0, 0, 0, 0, 0, 0]","[36, 50, 36, 47]"
W.Z.Z+Z.z.z,0,"[33, 47, 36, 47, 36, 49, 36, 47, 27, 47]","[33, 47, 36, 47, 36, 49, 36, 47, 27, 47, 27]"
W.F.F.,0,"[33, 47, 15, 47, 15, 47, 0, 0, 0, 0]","[33, 47, 15, 47, 15, 47]"
Z.Z.Z.Z.,0,"[36, 47, 36, 47, 36, 47, 36, 47, 0, 0]","[36, 47, 36, 47, 36, 47, 36, 47]"
W.W.,0,"[33, 47, 33, 47, 0, 0, 0, 0, 0, 0]","[33, 47, 33, 47]"
.Z.Z.z.I.Z.,0,"[47, 36, 47, 36, 47, 27, 47, 18, 47, 36]","[47, 36, 47, 36, 47, 27, 47, 18, 47, 36, 47]"
W.,0,"[33, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 47]"
"Z.W*Z,W*Z.",0,"[36, 47, 33, 50, 36, 48, 33, 50, 36, 47]","[36, 47, 33, 50, 36, 48, 33, 50, 36, 47]"
"I.Z.Z.I.Z,",0,"[18, 47, 36, 47, 36, 47, 18, 47, 36, 48]","[18, 47, 36, 47, 36, 47, 18, 47, 36, 48]"
w.Z.,0,"[24, 47, 36, 47, 0, 0, 0, 0, 0, 0]","[24, 47, 36, 47]"
Z.I.I.Z.Z+Z,0,"[36, 47, 18, 47, 18, 47, 36, 47, 36, 49]","[36, 47, 18, 47, 18, 47, 36, 47, 36, 49, 36]"
".I.Z*Z.i.Z,",0,"[47, 18, 47, 36, 50, 36, 47, 9, 47, 36]","[47, 18, 47, 36, 50, 36, 47, 9, 47, 36, 48]"
I*,0,"[18, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 50]"
.z.z.Z*w0W.,0,"[47, 27, 47, 27, 47, 36, 50, 24, 37, 33]","[47, 27, 47, 27, 47, 36, 50, 24, 37, 33, 47]"
Z.Z*z*,0,"[36, 47, 36, 50, 27, 50, 0, 0, 0, 0]","[36, 47, 36, 50, 27, 50]"
"Z,Z.I.Z00z*",0,"[36, 48, 36, 47, 18, 47, 36, 37, 37, 27]","[36, 48, 36, 47, 18, 47, 36, 37, 37, 27, 50]"
0W.Z00,0,"[37, 33, 47, 36, 37, 37, 0, 0, 0, 0]","[37, 33, 47, 36, 37, 37]"
W.W.,0,"[33, 47, 33, 47, 0, 0, 0, 0, 0, 0]","[33, 47, 33, 47]"
00W.W.Z.Z*,0,"[37, 37, 33, 47, 33, 47, 36, 47, 36, 50]","[37, 37, 33, 47, 33, 47, 36, 47, 36, 50]"
"Z,Z.W00W.",0,"[36, 48, 36, 47, 33, 37, 37, 33, 47, 0]","[36, 48, 36, 47, 33, 37, 37, 33, 47]"
X+,0,"[34, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[34, 49]"
W.f.Z.Z*Z+,0,"[33, 47, 6, 47, 36, 47, 36, 50, 36, 49]","[33, 47, 6, 47, 36, 47, 36, 50, 36, 49]"
"W.w.W.Z,Z.z",0,"[33, 47, 24, 47, 33, 47, 36, 48, 36, 47]","[33, 47, 24, 47, 33, 47, 36, 48, 36, 47, 27]"
".Z.W,W.w.Z.",0,"[47, 36, 47, 33, 48, 33, 47, 24, 47, 36]","[47, 36, 47, 33, 48, 33, 47, 24, 47, 36, 47]"
0W.W.W.,0,"[37, 33, 47, 33, 47, 33, 47, 0, 0, 0]","[37, 33, 47, 33, 47, 33, 47]"
I0,0,"[18, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 37]"
F.W*W.W.W*W,0,"[15, 47, 33, 50, 33, 47, 33, 47, 33, 50]","[15, 47, 33, 50, 33, 47, 33, 47, 33, 50, 33]"
0z*i0,0,"[37, 27, 50, 9, 37, 0, 0, 0, 0, 0]","[37, 27, 50, 9, 37]"
.z.i.Z+Z.I.,0,"[47, 27, 47, 9, 47, 36, 49, 36, 47, 18]","[47, 27, 47, 9, 47, 36, 49, 36, 47, 18, 47]"
"X,",0,"[34, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[34, 48]"
v.V.V.V.X.V,0,"[23, 47, 32, 47, 32, 47, 32, 47, 34, 47]","[23, 47, 32, 47, 32, 47, 32, 47, 34, 47, 32]"
W.,0,"[33, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 47]"
I.i.z.Z+Z.Z,0,"[18, 47, 9, 47, 27, 47, 36, 49, 36, 47]","[18, 47, 9, 47, 27, 47, 36, 49, 36, 47, 36]"
Z.I.,0,"[36, 47, 18, 47, 0, 0, 0, 0, 0, 0]","[36, 47, 18, 47]"
w.w.,0,"[24, 47, 24, 47, 0, 0, 0, 0, 0, 0]","[24, 47, 24, 47]"
"z.Z.z.Z,Z.Z",0,"[27, 47, 36, 47, 27, 47, 36, 48, 36, 47]","[27, 47, 36, 47, 27, 47, 36, 48, 36, 47, 36]"
Z.Z.Z.Z.,0,"[36, 47, 36, 47, 36, 47, 36, 47, 0, 0]","[36, 47, 36, 47, 36, 47, 36, 47]"
Z.I.I.Z.,0,"[36, 47, 18, 47, 18, 47, 36, 47, 0, 0]","[36, 47, 18, 47, 18, 47, 36, 47]"
.Z.Z.z.Z.I.,0,"[47, 36, 47, 36, 47, 27, 47, 36, 47, 18]","[47, 36, 47, 36, 47, 27, 47, 36, 47, 18, 47]"
"i.Z,Z.Z.Z,i",0,"[9, 47, 36, 48, 36, 47, 36, 47, 36, 48]","[9, 47, 36, 48, 36, 47, 36, 47, 36, 48, 9]"
Z*,0,"[36, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 50]"
.g.g.g.g.g.,0,"[47, 7, 47, 7, 47, 7, 47, 7, 47, 7]","[47, 7, 47, 7, 47, 7, 47, 7, 47, 7, 47]"
"X,g,x,x,",0,"[34, 48, 7, 48, 25, 48, 25, 48, 0, 0]","[34, 48, 7, 48, 25, 48, 25, 48]"
Z.z.Z.z.,0,"[36, 47, 27, 47, 36, 47, 27, 47, 0, 0]","[36, 47, 27, 47, 36, 47, 27, 47]"
Z*Z0,0,"[36, 50, 36, 37, 0, 0, 0, 0, 0, 0]","[36, 50, 36, 37]"
.Y*Y.y.Y.Y.,0,"[47, 35, 50, 35, 47, 26, 47, 35, 47, 35]","[47, 35, 50, 35, 47, 26, 47, 35, 47, 35, 47]"
Z.i.I.Z*Z.Z,0,"[36, 47, 9, 47, 18, 47, 36, 50, 36, 47]","[36, 47, 9, 47, 18, 47, 36, 50, 36, 47, 36]"
"I.z.z.Z,Z.Z",0,"[18, 47, 27, 47, 27, 47, 36, 48, 36, 47]","[18, 47, 27, 47, 27, 47, 36, 48, 36, 47, 36]"
".Z,Z.Z.Z.Z.",0,"[47, 36, 48, 36, 47, 36, 47, 36, 47, 36]","[47, 36, 48, 36, 47, 36, 47, 36, 47, 36, 47]"
*Z.z.Z.Z.z.,0,"[50, 36, 47, 27, 47, 36, 47, 36, 47, 27]","[50, 36, 47, 27, 47, 36, 47, 36, 47, 27, 47]"
I.I.i.Z.,0,"[18, 47, 18, 47, 9, 47, 36, 47, 0, 0]","[18, 47, 18, 47, 9, 47, 36, 47]"
Z.I.,0,"[36, 47, 18, 47, 0, 0, 0, 0, 0, 0]","[36, 47, 18, 47]"
f0f0f0f0,0,"[6, 37, 6, 37, 6, 37, 6, 37, 0, 0]","[6, 37, 6, 37, 6, 37, 6, 37]"
z0i0i0i0f0,0,"[27, 37, 9, 37, 9, 37, 9, 37, 6, 37]","[27, 37, 9, 37, 9, 37, 9, 37, 6, 37]"
Z.I.i.i.Y00,0,"[36, 47, 18, 47, 9, 47, 9, 47, 35, 37]","[36, 47, 18, 47, 9, 47, 9, 47, 35, 37, 37]"
Z00000W.,0,"[36, 37, 37, 37, 37, 37, 33, 47, 0, 0]","[36, 37, 37, 37, 37, 37, 33, 47]"
"z.Z.Z.z.Z,Z",0,"[27, 47, 36, 47, 36, 47, 27, 47, 36, 48]","[27, 47, 36, 47, 36, 47, 27, 47, 36, 48, 36]"
r.A.a.A.A.a,0,"[19, 47, 10, 47, 1, 47, 10, 47, 10, 47]","[19, 47, 10, 47, 1, 47, 10, 47, 10, 47, 1]"
X.X.X+X.x.x,0,"[34, 47, 34, 47, 34, 49, 34, 47, 25, 47]","[34, 47, 34, 47, 34, 49, 34, 47, 25, 47, 25]"
Y00W.,0,"[35, 37, 37, 33, 47, 0, 0, 0, 0, 0]","[35, 37, 37, 33, 47]"
.F.Z00Z.Z.W,0,"[47, 15, 47, 36, 37, 37, 36, 47, 36, 47]","[47, 15, 47, 36, 37, 37, 36, 47, 36, 47, 33]"
Z.I.I.Z+Z.z,0,"[36, 47, 18, 47, 18, 47, 36, 49, 36, 47]","[36, 47, 18, 47, 18, 47, 36, 49, 36, 47, 27]"
"X.X+X.X,x.",0,"[34, 47, 34, 49, 34, 47, 34, 48, 25, 47]","[34, 47, 34, 49, 34, 47, 34, 48, 25, 47]"
"0Z.Z,Z.Z+Z.",0,"[37, 36, 47, 36, 48, 36, 47, 36, 49, 36]","[37, 36, 47, 36, 48, 36, 47, 36, 49, 36, 47]"
X.W00W.,0,"[34, 47, 33, 37, 37, 33, 47, 0, 0, 0]","[34, 47, 33, 37, 37, 33, 47]"
Y00W.w.X.X+,0,"[35, 37, 37, 33, 47, 24, 47, 34, 47, 34]","[35, 37, 37, 33, 47, 24, 47, 34, 47, 34, 49]"
"X.X00X.X,X.",0,"[34, 47, 34, 37, 37, 34, 47, 34, 48, 34]","[34, 47, 34, 37, 37, 34, 47, 34, 48, 34, 47]"
*Z.Z.I.I.I.,0,"[50, 36, 47, 36, 47, 18, 47, 18, 47, 18]","[50, 36, 47, 36, 47, 18, 47, 18, 47, 18, 47]"
Z.z.I.Z.Z*Z,0,"[36, 47, 27, 47, 18, 47, 36, 47, 36, 50]","[36, 47, 27, 47, 18, 47, 36, 47, 36, 50, 36]"
i.w.W.w.Z*Z,0,"[9, 47, 24, 47, 33, 47, 24, 47, 36, 50]","[9, 47, 24, 47, 33, 47, 24, 47, 36, 50, 36]"
W0Y.,0,"[33, 37, 35, 47, 0, 0, 0, 0, 0, 0]","[33, 37, 35, 47]"
z*z*z*z*Z0z,0,"[27, 50, 27, 50, 27, 50, 27, 50, 36, 37]","[27, 50, 27, 50, 27, 50, 27, 50, 36, 37, 27]"
z0Z+Z*z*Y+,0,"[27, 37, 36, 49, 36, 50, 27, 50, 35, 49]","[27, 37, 36, 49, 36, 50, 27, 50, 35, 49]"
z00I00,0,"[27, 37, 37, 18, 37, 37, 0, 0, 0, 0]","[27, 37, 37, 18, 37, 37]"
Z+z*z*I*z*z,0,"[36, 49, 27, 50, 27, 50, 18, 50, 27, 50]","[36, 49, 27, 50, 27, 50, 18, 50, 27, 50, 27]"
.Y+Y.Y+H+Y.,0,"[47, 35, 49, 35, 47, 35, 49, 17, 49, 35]","[47, 35, 49, 35, 47, 35, 49, 17, 49, 35, 47]"
y+y*y+h+H+H,0,"[26, 49, 26, 50, 26, 49, 8, 49, 17, 49]","[26, 49, 26, 50, 26, 49, 8, 49, 17, 49, 17]"
+y*y+H+H+y+,0,"[49, 26, 50, 26, 49, 17, 49, 17, 49, 26]","[49, 26, 50, 26, 49, 17, 49, 17, 49, 26, 49]"
Z0W.,0,"[36, 37, 33, 47, 0, 0, 0, 0, 0, 0]","[36, 37, 33, 47]"
z*z0Z*,0,"[27, 50, 27, 37, 36, 50, 0, 0, 0, 0]","[27, 50, 27, 37, 36, 50]"
0z*,0,"[37, 27, 50, 0, 0, 0, 0, 0, 0, 0]","[37, 27, 50]"
Z0,0,"[36, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 37]"
Z*z0,0,"[36, 50, 27, 37, 0, 0, 0, 0, 0, 0]","[36, 50, 27, 37]"
Z0Z*,0,"[36, 37, 36, 50, 0, 0, 0, 0, 0, 0]","[36, 37, 36, 50]"
Z+Z*z*I*z+Z,0,"[36, 49, 36, 50, 27, 50, 18, 50, 27, 49]","[36, 49, 36, 50, 27, 50, 18, 50, 27, 49, 36]"
z*Z00Z*z*Z*,0,"[27, 50, 36, 37, 37, 36, 50, 27, 50, 36]","[27, 50, 36, 37, 37, 36, 50, 27, 50, 36, 50]"
"Y0Y,Z00Z+Z*",0,"[35, 37, 35, 48, 36, 37, 37, 36, 49, 36]","[35, 37, 35, 48, 36, 37, 37, 36, 49, 36, 50]"
"y*y+H+Y,Y.y",0,"[26, 50, 26, 49, 17, 49, 35, 48, 35, 47]","[26, 50, 26, 49, 17, 49, 35, 48, 35, 47, 26]"
z.,0,"[27, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[27, 47]"
Z.F.W.W.X0X,0,"[36, 47, 15, 47, 33, 47, 33, 47, 34, 37]","[36, 47, 15, 47, 33, 47, 33, 47, 34, 37, 34]"
i0i0i0i0i0,0,"[9, 37, 9, 37, 9, 37, 9, 37, 9, 37]","[9, 37, 9, 37, 9, 37, 9, 37, 9, 37]"
0000,0,"[37, 37, 37, 37, 0, 0, 0, 0, 0, 0]","[37, 37, 37, 37]"
.y.Y.w.W.w.,0,"[47, 26, 47, 35, 47, 24, 47, 33, 47, 24]","[47, 26, 47, 35, 47, 24, 47, 33, 47, 24, 47]"
"Y.y.H.z.Z,Y",0,"[35, 47, 26, 47, 17, 47, 27, 47, 36, 48]","[35, 47, 26, 47, 17, 47, 27, 47, 36, 48, 35]"
w.W00W.W.Z0,0,"[24, 47, 33, 37, 37, 33, 47, 33, 47, 36]","[24, 47, 33, 37, 37, 33, 47, 33, 47, 36, 37]"
Y.w.F.F.f.,0,"[35, 47, 24, 47, 15, 47, 15, 47, 6, 47]","[35, 47, 24, 47, 15, 47, 15, 47, 6, 47]"
"W,W.w.w.W.W",0,"[33, 48, 33, 47, 24, 47, 24, 47, 33, 47]","[33, 48, 33, 47, 24, 47, 24, 47, 33, 47, 33]"
Y.y.Z00w000,0,"[35, 47, 26, 47, 36, 37, 37, 24, 37, 37]","[35, 47, 26, 47, 36, 37, 37, 24, 37, 37, 37]"
Y.z.y.F.W.W,0,"[35, 47, 27, 47, 26, 47, 15, 47, 33, 47]","[35, 47, 27, 47, 26, 47, 15, 47, 33, 47, 33]"
0z0,0,"[37, 27, 37, 0, 0, 0, 0, 0, 0, 0]","[37, 27, 37]"
.Z.i.z.I.Z.,0,"[47, 36, 47, 9, 47, 27, 47, 18, 47, 36]","[47, 36, 47, 9, 47, 27, 47, 18, 47, 36, 47]"
I.I.Z.Z.Z.W,0,"[18, 47, 18, 47, 36, 47, 36, 47, 36, 47]","[18, 47, 18, 47, 36, 47, 36, 47, 36, 47, 33]"
W.W.w.Z*z*W,0,"[33, 47, 33, 47, 24, 47, 36, 50, 27, 50]","[33, 47, 33, 47, 24, 47, 36, 50, 27, 50, 33]"
.X.H.X.x.Y.,0,"[47, 34, 47, 17, 47, 34, 47, 25, 47, 35]","[47, 34, 47, 17, 47, 34, 47, 25, 47, 35, 47]"
",Y.y.Z.Y.z.",0,"[48, 35, 47, 26, 47, 36, 47, 35, 47, 27]","[48, 35, 47, 26, 47, 36, 47, 35, 47, 27, 47]"
h0h0h0i0,0,"[8, 37, 8, 37, 8, 37, 9, 37, 0, 0]","[8, 37, 8, 37, 8, 37, 9, 37]"
z*W.W.w.w.z,0,"[27, 50, 33, 47, 33, 47, 24, 47, 24, 47]","[27, 50, 33, 47, 33, 47, 24, 47, 24, 47, 27]"
I*z*w0Z*Z*z,0,"[18, 50, 27, 50, 24, 37, 36, 50, 36, 50]","[18, 50, 27, 50, 24, 37, 36, 50, 36, 50, 27]"
i0i0i0i0f0,0,"[9, 37, 9, 37, 9, 37, 9, 37, 6, 37]","[9, 37, 9, 37, 9, 37, 9, 37, 6, 37]"
H.y.,0,"[17, 47, 26, 47, 0, 0, 0, 0, 0, 0]","[17, 47, 26, 47]"
0I00,0,"[37, 18, 37, 37, 0, 0, 0, 0, 0, 0]","[37, 18, 37, 37]"
.z.i.Z.Z*z0,0,"[47, 27, 47, 9, 47, 36, 47, 36, 50, 27]","[47, 27, 47, 9, 47, 36, 47, 36, 50, 27, 37]"
0z00,0,"[37, 27, 37, 37, 0, 0, 0, 0, 0, 0]","[37, 27, 37, 37]"
Z.Z0,0,"[36, 47, 36, 37, 0, 0, 0, 0, 0, 0]","[36, 47, 36, 37]"
"Z,Z*",0,"[36, 48, 36, 50, 0, 0, 0, 0, 0, 0]","[36, 48, 36, 50]"
Y.h.w.Y*,0,"[35, 47, 8, 47, 24, 47, 35, 50, 0, 0]","[35, 47, 8, 47, 24, 47, 35, 50]"
w.Z*Z.Z.I.,0,"[24, 47, 36, 50, 36, 47, 36, 47, 18, 47]","[24, 47, 36, 50, 36, 47, 36, 47, 18, 47]"
z00,0,"[27, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[27, 37, 37]"
Z00Z.Z.I.Z.,0,"[36, 37, 37, 36, 47, 36, 47, 18, 47, 36]","[36, 37, 37, 36, 47, 36, 47, 18, 47, 36, 47]"
Z.I.i.I.,0,"[36, 47, 18, 47, 9, 47, 18, 47, 0, 0]","[36, 47, 18, 47, 9, 47, 18, 47]"
*z00Z.Z.z.Z,0,"[50, 27, 37, 37, 36, 47, 36, 47, 27, 47]","[50, 27, 37, 37, 36, 47, 36, 47, 27, 47, 36]"
0z*Z.Z.Z0h0,0,"[37, 27, 50, 36, 47, 36, 47, 36, 37, 8]","[37, 27, 50, 36, 47, 36, 47, 36, 37, 8, 37]"
0z00Z.Z.Z.Z,0,"[37, 27, 37, 37, 36, 47, 36, 47, 36, 47]","[37, 27, 37, 37, 36, 47, 36, 47, 36, 47, 36]"
z*z0,0,"[27, 50, 27, 37, 0, 0, 0, 0, 0, 0]","[27, 50, 27, 37]"
.Z.z.Z.Z.Z.,0,"[47, 36, 47, 27, 47, 36, 47, 36, 47, 36]","[47, 36, 47, 27, 47, 36, 47, 36, 47, 36, 47]"
z.Z00,0,"[27, 47, 36, 37, 37, 0, 0, 0, 0, 0]","[27, 47, 36, 37, 37]"
.F.W.W.W.w.,0,"[47, 15, 47, 33, 47, 33, 47, 33, 47, 24]","[47, 15, 47, 33, 47, 33, 47, 33, 47, 24, 47]"
z*z0,0,"[27, 50, 27, 37, 0, 0, 0, 0, 0, 0]","[27, 50, 27, 37]"
Z0W.Z*z0Z*,0,"[36, 37, 33, 47, 36, 50, 27, 37, 36, 50]","[36, 37, 33, 47, 36, 50, 27, 37, 36, 50]"
Z.Z.Z000,0,"[36, 47, 36, 47, 36, 37, 37, 37, 0, 0]","[36, 47, 36, 47, 36, 37, 37, 37]"
z.Z*z*z*,0,"[27, 47, 36, 50, 27, 50, 27, 50, 0, 0]","[27, 47, 36, 50, 27, 50, 27, 50]"
Z.z.Z.Z.Z+Z,0,"[36, 47, 27, 47, 36, 47, 36, 47, 36, 49]","[36, 47, 27, 47, 36, 47, 36, 47, 36, 49, 36]"
z*Z*,0,"[27, 50, 36, 50, 0, 0, 0, 0, 0, 0]","[27, 50, 36, 50]"
".Z,Z*W.Z0z0",0,"[47, 36, 48, 36, 50, 33, 47, 36, 37, 27]","[47, 36, 48, 36, 50, 33, 47, 36, 37, 27, 37]"
Z.W0W.F.f.Z,0,"[36, 47, 33, 37, 33, 47, 15, 47, 6, 47]","[36, 47, 33, 37, 33, 47, 15, 47, 6, 47, 36]"
Z*,0,"[36, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 50]"
W.Z00W*W.,0,"[33, 47, 36, 37, 37, 33, 50, 33, 47, 0]","[33, 47, 36, 37, 37, 33, 50, 33, 47]"
0000Z*,0,"[37, 37, 37, 37, 36, 50, 0, 0, 0, 0]","[37, 37, 37, 37, 36, 50]"
i0i0i0i0i0,0,"[9, 37, 9, 37, 9, 37, 9, 37, 9, 37]","[9, 37, 9, 37, 9, 37, 9, 37, 9, 37]"
W*W.w.Z+Z00,0,"[33, 50, 33, 47, 24, 47, 36, 49, 36, 37]","[33, 50, 33, 47, 24, 47, 36, 49, 36, 37, 37]"
Z.,0,"[36, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 47]"
Z.Z.Z*z*z*Z,0,"[36, 47, 36, 47, 36, 50, 27, 50, 27, 50]","[36, 47, 36, 47, 36, 50, 27, 50, 27, 50, 36]"
W.W.W.W00W.,0,"[33, 47, 33, 47, 33, 47, 33, 37, 37, 33]","[33, 47, 33, 47, 33, 47, 33, 37, 37, 33, 47]"
F.,0,"[15, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[15, 47]"
z.,0,"[27, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[27, 47]"
i0i0i0i0i0,0,"[9, 37, 9, 37, 9, 37, 9, 37, 9, 37]","[9, 37, 9, 37, 9, 37, 9, 37, 9, 37]"
w.F.f.i.,0,"[24, 47, 15, 47, 6, 47, 9, 47, 0, 0]","[24, 47, 15, 47, 6, 47, 9, 47]"
Y.Y0y00,0,"[35, 47, 35, 37, 26, 37, 37, 0, 0, 0]","[35, 47, 35, 37, 26, 37, 37]"
"Y0Y,Y*Y,Y.",0,"[35, 37, 35, 48, 35, 50, 35, 48, 35, 47]","[35, 37, 35, 48, 35, 50, 35, 48, 35, 47]"
i.Z.Z.Z0W.W,0,"[9, 47, 36, 47, 36, 47, 36, 37, 33, 47]","[9, 47, 36, 47, 36, 47, 36, 37, 33, 47, 33]"
Z.z.y.W.Z00,0,"[36, 47, 27, 47, 26, 47, 33, 47, 36, 37]","[36, 47, 27, 47, 26, 47, 33, 47, 36, 37, 37]"
Z00W.,0,"[36, 37, 37, 33, 47, 0, 0, 0, 0, 0]","[36, 37, 37, 33, 47]"
"Y,X00",0,"[35, 48, 34, 37, 37, 0, 0, 0, 0, 0]","[35, 48, 34, 37, 37]"
i.Z00Z.Y00Y,0,"[9, 47, 36, 37, 37, 36, 47, 35, 37, 37]","[9, 47, 36, 37, 37, 36, 47, 35, 37, 37, 35]"
Y.y.Y.H.,0,"[35, 47, 26, 47, 35, 47, 17, 47, 0, 0]","[35, 47, 26, 47, 35, 47, 17, 47]"
W.,0,"[33, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 47]"
Z.Z.z.W00W.,0,"[36, 47, 36, 47, 27, 47, 33, 37, 37, 33]","[36, 47, 36, 47, 27, 47, 33, 37, 37, 33, 47]"
.Z.z.Z.Z00Z,0,"[47, 36, 47, 27, 47, 36, 47, 36, 37, 37]","[47, 36, 47, 27, 47, 36, 47, 36, 37, 37, 36]"
W00W.Z+,0,"[33, 37, 37, 33, 47, 36, 49, 0, 0, 0]","[33, 37, 37, 33, 47, 36, 49]"
"Y+X,",0,"[35, 49, 34, 48, 0, 0, 0, 0, 0, 0]","[35, 49, 34, 48]"
W.F.W.w.,0,"[33, 47, 15, 47, 33, 47, 24, 47, 0, 0]","[33, 47, 15, 47, 33, 47, 24, 47]"
