State,class
Z.I.I.Z.,Normal-Jist
.Z.Z.z.Z.I.,Normal-Jist
"i.Z,Z.Z.Z,i",Normal-Jist
Z*,Normal-Jist
.g.g.g.g.g.,Normal-Jist
"X,g,x,x,",Normal-Jist
Z.z.Z.z.,Normal-Jist
Z*Z0,Normal-Jist
.Y*Y.y.Y.Y.,Normal-Jist
Z.i.I.Z*Z.Z,Normal-Jist
"I.z.z.Z,Z.Z",Normal-Jist
".Z,Z.Z.Z.Z.",Normal-Jist
*Z.z.Z.Z.z.,Normal-Jist
I.I.i.Z.,Normal-Jist
Z.I.,Normal-Jist
f0f0f0f0,Normal-UDP-NTP-server
z0i0i0i0f0,Normal-UDP-NTP-server
Z.I.i.i.Y00,Normal-Grill
Z00000W.,Normal-Grill
"z.Z.Z.z.Z,Z",Normal-Grill
r.A.a.A.A.a,Normal-Grill
X.X.X+X.x.x,Normal-Grill
Y00W.,Normal-Grill
.F.Z00Z.Z.W,Normal-Grill
Z.I.I.Z+Z.z,Normal-Grill
"X.X+X.X,x.",Normal-Grill
"0Z.Z,Z.Z+Z.",Normal-Grill
X.W00W.,Normal-Grill
Y00W.w.X.X+,Normal-Grill
"X.X00X.X,X.",Normal-Grill
*Z.Z.I.I.I.,Normal-Grill
Z.z.I.Z.Z*Z,Normal-Grill
i.w.W.w.Z*Z,Normal-Grill
W0Y.,Normal-Grill
z*z*z*z*Z0z,Normal-Grill
z0Z+Z*z*Y+,Normal-Grill
z00I00,Normal-Grill
Z+z*z*I*z*z,Normal-Grill
.Y+Y.Y+H+Y.,Normal-Grill
y+y*y+h+H+H,Normal-Grill
+y*y+H+H+y+,Normal-Grill
Z0W.,Normal-Grill
z*z0Z*,Normal-Grill
0z*,Normal-Grill
Z0,Normal-Grill
Z*z0,Normal-Grill
Z0Z*,Normal-Grill
Z+Z*z*I*z+Z,Normal-Grill
z*Z00Z*z*Z*,Normal-Grill
"Y0Y,Z00Z+Z*",Normal-Grill
"y*y+H+Y,Y.y",Normal-Grill
z.,Normal-Grill
Z.F.W.W.X0X,Normal-Grill
i0i0i0i0i0,Normal-Grill
0000,Normal-Grill
.y.Y.w.W.w.,Normal-Grill
"Y.y.H.z.Z,Y",Normal-Grill
w.W00W.W.Z0,Normal-Grill
Y.w.F.F.f.,Normal-Grill
"W,W.w.w.W.W",Normal-Grill
Y.y.Z00w000,Normal-Grill
Y.z.y.F.W.W,Normal-Grill
0z0,Normal-Grill
.Z.i.z.I.Z.,Normal-Grill
I.I.Z.Z.Z.W,Normal-Grill
W.W.w.Z*z*W,Normal-Grill
.X.H.X.x.Y.,Normal-Grill
",Y.y.Z.Y.z.",Normal-Grill
h0h0h0i0,Normal-Grill
z*W.W.w.w.z,Normal-Grill
I*z*w0Z*Z*z,Normal-Grill
i0i0i0i0f0,Normal-Grill
H.y.,Normal-Grill
0I00,Normal-Grill
.z.i.Z.Z*z0,Normal-Grill
0z00,Normal-Grill
Z.Z0,Normal-Grill
"Z,Z*",Normal-Grill
Y.h.w.Y*,Normal-Grill
w.Z*Z.Z.I.,Normal-Grill
z00,Normal-Grill
Z00Z.Z.I.Z.,Normal-Grill
Z.I.i.I.,Normal-Grill
*z00Z.Z.z.Z,Normal-Grill
0z*Z.Z.Z0h0,Normal-Grill
0z00Z.Z.Z.Z,Normal-Grill
z*z0,Normal-Grill
.Z.z.Z.Z.Z.,Normal-Grill
z.Z00,Normal-Grill
.F.W.W.W.w.,Normal-Grill
z*z0,Normal-Grill
Z0W.Z*z0Z*,Normal-Grill
Z.Z.Z000,Normal-Grill
z.Z*z*z*,Normal-Grill
Z.z.Z.Z.Z+Z,Normal-Grill
z*Z*,Normal-Grill
".Z,Z*W.Z0z0",Normal-Grill
Z.W0W.F.f.Z,Normal-Grill
Z*,Normal-Grill
W.Z00W*W.,Normal-Grill
0000Z*,Normal-Grill
i0i0i0i0i0,Normal-Grill
W*W.w.Z+Z00,Normal-Grill
Z.,Normal-Grill
Z.Z.Z*z*z*Z,Normal-Grill
W.W.W.W00W.,Normal-Grill
F.,Normal-Grill
z.,Normal-Grill
i0i0i0i0i0,Normal-Grill
w.F.f.i.,Normal-Grill
Y.Y0y00,Normal-Grill
"Y0Y,Y*Y,Y.",Normal-Grill
i.Z.Z.Z0W.W,Normal-Grill
Z.z.y.W.Z00,Normal-Grill
Z00W.,Normal-Grill
"Y,X00",Normal-Grill
i.Z00Z.Y00Y,Normal-Grill
Y.y.Y.H.,Normal-Grill
W.,Normal-Grill
Z.Z.z.W00W.,Normal-Grill
.Z.z.Z.Z00Z,Normal-Grill
W00W.Z+,Normal-Grill
"Y+X,",Normal-Grill
W.F.W.w.,Normal-Grill
".X,x+X,X.X+",Normal-Grill
"X.X,y,V.E.X",Normal-Grill
X+X00,Normal-Grill
F.,Normal-Grill
z.Z.,Normal-Grill
Z.Z.Z.Z.,Normal-Grill
.Y.W.W.W.F.,Normal-Grill
W.Y.W.W.,Normal-Grill
Z.Z.Z.z.,Normal-Grill
"Y00Y,Y.Y+Y0",Normal-Grill
Z.i.I.I.,Normal-Grill
*y+y+W.H.w.,Normal-Grill
.Y.y.y.H.y.,Normal-Grill
"F.W.W.Y,Y.Y",Normal-Grill
Z.z.,Normal-Grill
Z.,Normal-Grill
".X.X,X.Y,W.",Normal-Grill
Z.z.z.z.,Normal-Grill
z+z+I+z+I*I,Normal-Grill
z.w.W.W.,Normal-Grill
W.,Normal-Grill
S0s0,Botnet-TCP-Attempt-SPAM
s0,Botnet-TCP-Attempt-SPAM
V0,Botnet-UDP-DNS
W00,Botnet-UDP-DNS
W*W.,Botnet-TCP-Attempt-SPAM
u*r0U+,Botnet-UDP-DNS
s*s*s0,Botnet-TCP-Attempt-SPAM
0S*,Botnet-TCP-Attempt-SPAM
B0s*,Botnet-TCP-Attempt-SPAM
S*s0,Botnet-TCP-Attempt-SPAM
0s*,Botnet-TCP-Attempt-SPAM
r*b*,Botnet-TCP-Attempt-SPAM
s0B0,Botnet-TCP-Attempt-SPAM
0V*v0,Botnet-TCP-Attempt-SPAM
s*,Botnet-TCP-Attempt-SPAM
s+,Botnet-TCP-Attempt-SPAM
s0S*,Botnet-TCP-Attempt-SPAM
s0S*,Botnet-TCP-Attempt-SPAM
s*s*S+s*,Botnet-TCP-Attempt-SPAM
B*s0,Botnet-TCP-Attempt-SPAM
V00,Botnet-TCP-Attempt-SPAM
S*,Botnet-TCP-Attempt-SPAM
S000,Botnet-TCP-Attempt-SPAM
v*V00,Botnet-TCP-Attempt-SPAM
s0,Botnet-TCP-Attempt-SPAM
v+,Botnet-TCP-Attempt-SPAM
s*S0,Botnet-TCP-Attempt-SPAM
s*,Botnet-TCP-Attempt-SPAM
S+S*A*S00,Botnet-TCP-Attempt-SPAM
s0,Botnet-TCP-Attempt-SPAM
S000,Botnet-TCP-Attempt-SPAM
00s*,Botnet-TCP-Attempt-SPAM
s0S*,Botnet-TCP-Attempt-SPAM
s*S00,Botnet-TCP-Attempt-SPAM
V0,Botnet-TCP-Attempt-SPAM
s00S*,Botnet-TCP-Attempt-SPAM
S+,Botnet-TCP-Attempt-SPAM
S000,Botnet-TCP-Attempt-SPAM
B*b*s*,Botnet-TCP-Attempt-SPAM
B*,Botnet-TCP-Attempt-SPAM
00S*,Botnet-TCP-Attempt-SPAM
s*s*B*S+S*s,Botnet-TCP-Attempt-SPAM
s0S*S0s*,Botnet-TCP-Attempt-SPAM
s00s*,Botnet-TCP-Attempt-SPAM
s00,Botnet-TCP-Attempt-SPAM
00S+,Botnet-TCP-Attempt-SPAM
"s,",Botnet-TCP-Attempt-SPAM
S0S*s*,Botnet-TCP-Attempt-SPAM
0Z+Z0Z.Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z*Z0Z,Botnet-UDP-DNS
00,Botnet-TCP-Attempt-SPAM
s*,Botnet-TCP-Attempt-SPAM
Y*U.Z*Z*z+Z,Botnet-UDP-DNS
s*,Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
S00,Botnet-TCP-Attempt-SPAM
R00,Botnet-UDP-DNS
A*r0,Botnet-UDP-DNS
R+W0,Botnet-UDP-DNS
0S*B*s+s*B*,Botnet-TCP-Attempt-SPAM
B*B*,Botnet-TCP-Attempt-SPAM
B*s*s*B*,Botnet-TCP-Attempt-SPAM
"*S,s,S+S,S*",Botnet-TCP-Attempt-SPAM
0S*,Botnet-TCP-Attempt-SPAM
s+T*b*s00,Botnet-TCP-Attempt-SPAM
S00s*,Botnet-TCP-Attempt-SPAM
s0s*s*s*,Botnet-TCP-Attempt-SPAM
S*s0s*S+S*,Botnet-TCP-Attempt-SPAM
s00,Botnet-TCP-Attempt-SPAM
S0S*,Botnet-TCP-Attempt-SPAM
s*s0,Botnet-TCP-Attempt-SPAM
s*,Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
"+I+z,z,z+z+",Botnet-TCP-Attempt-SPAM
",z+z,z+w,z+",Botnet-TCP-CC-HTTP-Not-Encrypted
Z00,Botnet-UDP-Attempt-DNS
Z00Z+,Botnet-UDP-Attempt-DNS
+E+E+E+E+E+,Botnet-TCP-Established
s0,Botnet-UDP-DNS
S*S.S*,Botnet-TCP-Attempt-SPAM
V00,Botnet-UDP-DNS
S00,Botnet-UDP-DNS
00V*,Botnet-UDP-DNS
s*,Botnet-TCP-Attempt-SPAM
R0,Botnet-UDP-Attempt-DNS
"Y,H,y,y,H,y",Botnet-TCP-Established-HTTP-Ad
S*S.S*S.,Botnet-TCP-Attempt-SPAM
"S*S,S*S.",Botnet-TCP-Attempt-SPAM
"y,Y0Y,Y*Y,y",Botnet-TCP-Attempt-SPAM
"*Y0Y,Y,y,y,",Botnet-TCP-Established-HTTP-Ad
S00,Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
V*V0E0,Botnet-TCP-Attempt-SPAM
"S,S*s0",Botnet-TCP-Attempt-SPAM
"W*S,S*",Botnet-TCP-Attempt-SPAM
r0,Botnet-UDP-DNS
*w+s*S00W+B,Botnet-TCP-Attempt-SPAM
W00R+,Botnet-UDP-DNS
B*F*B*,Botnet-TCP-Attempt-SPAM
v*v00,Botnet-TCP-Attempt-SPAM
U0U*,Botnet-UDP-DNS
"S*S,S*",Botnet-TCP-Attempt-SPAM
Z0Z+Z0Z+,Botnet-UDP-Attempt-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
U00,Botnet-UDP-DNS
S*s+s*s+,Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
v00,Botnet-TCP-Attempt-SPAM
0S+s*s*s*B*,Botnet-TCP-Attempt-SPAM
s*,Botnet-TCP-Attempt-SPAM
s0,Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
S00s0s*,Botnet-TCP-Attempt-SPAM
i+Z0i0i0,Botnet-TCP-Established
S00,Botnet-TCP-Attempt-SPAM
B0,Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
S000,Botnet-TCP-Attempt-SPAM
s0,Botnet-TCP-Attempt-SPAM
R000,Botnet-TCP-Attempt-SPAM
s*s*,Botnet-TCP-Attempt-SPAM
B*,Botnet-TCP-Attempt-SPAM
I*v0,Botnet-UDP-DNS
S000S*,Botnet-TCP-Attempt-SPAM
"S,S,",Botnet-TCP-Attempt-SPAM
W*,Botnet-TCP-Attempt-SPAM
S+s+,Botnet-TCP-Attempt-SPAM
U00,Botnet-UDP-DNS
"W00R,",Botnet-UDP-Attempt-DNS
"W00R,",Botnet-UDP-DNS
S*W.S*,Botnet-TCP-Attempt-SPAM
S*,Botnet-TCP-Attempt-SPAM
"S*S,S*S.",Botnet-TCP-Attempt-SPAM
W*W.,Botnet-TCP-Attempt-SPAM
Z0,Botnet-UDP-DNS
w0,Botnet-UDP-DNS
B*,Botnet-TCP-Attempt-SPAM
B*,Botnet-TCP-Attempt-SPAM
V*E*,Botnet-TCP-Attempt-SPAM
u00,Botnet-UDP-DNS
v00,Botnet-UDP-DNS
"W*S,S*",Botnet-TCP-Attempt-SPAM
S0,Botnet-TCP-Attempt-SPAM
s*,Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
S*S*,Botnet-TCP-Attempt-SPAM
Z0y*Z0Z+,Botnet-UDP-DNS
Z0Z.Z0Z*,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
Z0Z.Z0Z+,Botnet-UDP-Attempt-DNS
Z0Z.Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
R00R*,Botnet-UDP-DNS
0Z+Z0Z+Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+Z0Z,Botnet-UDP-DNS
Z0Z+Z0Z.Z0Z,Botnet-UDP-DNS
W00,Botnet-UDP-DNS
W0R*,Botnet-UDP-DNS
Z0Z.Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z.Z0Z,Botnet-UDP-DNS
Z0Z.Z0Z+,Botnet-UDP-DNS
0V+,Botnet-UDP-DNS
z*z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
F*v0R*,Botnet-UDP-DNS
W0Z.Z0Z+,Botnet-UDP-DNS
z*z0Z+,Botnet-UDP-DNS
0Z+Z0Z+Z0Z*,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
W0Z+Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
u0,Botnet-UDP-DNS
W0,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
S*w+s*,Botnet-TCP-Attempt-SPAM
r0,Botnet-UDP-DNS
u00R*,Botnet-UDP-DNS
Z0Z+,Botnet-UDP-DNS
z*v0Z*,Botnet-UDP-Attempt-DNS
z*v0Z*,Botnet-UDP-DNS
z*V0Z*,Botnet-UDP-DNS
s+,Botnet-TCP-Attempt-SPAM
Z0Z+Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
R00,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
"b,",Botnet-TCP-Attempt-SPAM
S00,Botnet-TCP-Attempt-SPAM
y*r0,Botnet-UDP-DNS
U00,Botnet-UDP-DNS
U00,Botnet-UDP-DNS
Z0,Botnet-UDP-DNS
W00,Botnet-UDP-DNS
"u*w0W,",Botnet-UDP-DNS
Z0Z.Z0z*,Botnet-UDP-Attempt-DNS
Z0Z.Z0z*,Botnet-UDP-DNS
W00S*,Botnet-UDP-DNS
",s+W*S.S,s,",Botnet-TCP-Attempt-SPAM
U00,Botnet-UDP-Attempt-DNS
U00,Botnet-UDP-DNS
U00W*,Botnet-UDP-Attempt-DNS
U00W*,Botnet-UDP-DNS
V00U*,Botnet-UDP-Attempt-DNS
V00U*,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-Attempt-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
".S*S,s,s.S*",Botnet-TCP-Attempt-SPAM
W00,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
Z0Z+Z0Z+,Botnet-UDP-Attempt-DNS
Z0Z+Z0Z+,Botnet-UDP-DNS
r*w0W+,Botnet-UDP-DNS
s+s*W00,Botnet-TCP-Attempt-SPAM
"S*S,S*",Botnet-TCP-Attempt-SPAM
W+S0s*,Botnet-TCP-Attempt-SPAM
y*y0y*y0Y.,Botnet-TCP-Established-HTTP-Ad
.R*V.v.R*Y.,Botnet-TCP-Established-HTTP-Ad
*h*y0h*y*Y.,Botnet-TCP-Established-HTTP-Ad
y+z+y+z+y*Z,Botnet-TCP-Established-HTTP-Ad-yieldmanager
I*Z*y*Z0i0,Botnet-TCP-WEB-Established
"*y*Z.Y,Y+H+",Botnet-TCP-Established-HTTP-Ad
R*V.R*r0Y.V,Botnet-TCP-Established-HTTP-Ad
*z*Y+Z0I0Z*,Botnet-TCP-Established-HTTP-Ad
H0I0Z+,Botnet-TCP-WEB-Established
z*u0W+,Botnet-UDP-DNS
Z00U+,Botnet-UDP-DNS
s*s*s*s*,Botnet-TCP-Attempt-SPAM
U00R*,Botnet-UDP-DNS
S*S.S*W+,Botnet-TCP-Attempt-SPAM
w0,Botnet-UDP-DNS
S*,Botnet-TCP-Attempt-SPAM
0R*,Botnet-UDP-DNS
s*s+s*,Botnet-TCP-Attempt-SPAM
I*w0Z*,Botnet-UDP-Attempt-DNS
I*w0Z*,Botnet-UDP-DNS
R0,Botnet-UDP-DNS
S*w+s*,Botnet-TCP-Attempt-SPAM
Z0Z.W0Z+,Botnet-UDP-Attempt-DNS
Z0Z.W0Z+,Botnet-UDP-DNS
w*z0W*,Botnet-UDP-Attempt-DNS
w*z0W*,Botnet-UDP-DNS
u00,Botnet-UDP-DNS
W0V*W0Z+,Botnet-UDP-DNS
U00R*,Botnet-UDP-Attempt-DNS
U00R*,Botnet-UDP-DNS
s0,Botnet-UDP-DNS
B*,Botnet-TCP-Attempt-SPAM
y0W*,Botnet-UDP-DNS
B*,Botnet-TCP-Attempt-SPAM
Z0w*Z0Z*,Botnet-UDP-Attempt-DNS
Z0w*Z0Z*,Botnet-UDP-DNS
W00U+,Botnet-UDP-DNS
U00,Botnet-UDP-DNS
"S00S,B,",Botnet-TCP-Attempt-SPAM
W00,Botnet-UDP-DNS
R00,Botnet-UDP-DNS
0R*,Botnet-UDP-DNS
U0,Botnet-UDP-DNS
R*,Botnet-UDP-DNS
"*s0B0S*s*S,",Botnet-TCP-Attempt-SPAM
S*S.S*,Botnet-TCP-Attempt-SPAM
B*w*S+,Botnet-TCP-Attempt-SPAM
v0,Botnet-UDP-DNS
S000S*s*,Botnet-TCP-Attempt-SPAM
U0,Botnet-UDP-DNS
"I,z+z,Z0",Botnet-TCP-Established-HTTP-Binary-Download
S*S.S*S.,Botnet-TCP-Attempt-SPAM
W*S.S*,Botnet-TCP-Attempt-SPAM
r00,Botnet-UDP-Attempt-DNS
r00,Botnet-UDP-DNS
0Z+Z0Z.Z0Z+,Botnet-UDP-DNS
S*S.S*S.,Botnet-TCP-Attempt-SPAM
W0W+U0,Botnet-UDP-DNS
w*w0W*,Botnet-UDP-DNS
w*z0V*,Botnet-UDP-DNS
v*w0U*,Botnet-UDP-DNS
b*s0S*,Botnet-TCP-Attempt-SPAM
w00W+,Botnet-UDP-DNS
W00W+,Botnet-UDP-Attempt-DNS
W00W+,Botnet-UDP-DNS
R00,Botnet-UDP-DNS
s*,Botnet-TCP-Attempt-SPAM
Z0Z+Z0Z+,Botnet-UDP-DNS
S*s*s0,Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
0s*,Botnet-TCP-Attempt-SPAM
R*,Botnet-TCP-Attempt-SPAM
Z0Z+Z0Z.Z0Z,Botnet-UDP-DNS
"00T,",Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
00S*,Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
00S.,Botnet-TCP-Attempt-SPAM
"s*s*s+S,S+S",Botnet-TCP-Attempt-SPAM
"S,",Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
B0,Botnet-TCP-Attempt-SPAM
"0S*S+s,S*S+",Botnet-TCP-Attempt-SPAM
"S,S*s*S0S*S",Botnet-TCP-Attempt-SPAM
s0,Botnet-TCP-Attempt-SPAM
S*,Botnet-TCP-Attempt-SPAM
u0U*,Botnet-UDP-DNS
u0,Botnet-UDP-DNS
R00,Botnet-UDP-DNS
00,Botnet-TCP-Attempt-SPAM
"*s+s*s*S,S*",Botnet-TCP-Attempt-SPAM
"s,s,S+S,s,s",Botnet-TCP-Attempt-SPAM
"S,S+s+",Botnet-TCP-Attempt-SPAM
",s+s,S+S,s.",Botnet-TCP-Attempt-SPAM
"s,b,B,S.s,S",Botnet-TCP-Attempt-SPAM
"s,s,s,b,s,s",Botnet-TCP-Attempt-SPAM
"B+S,B,s+s,s",Botnet-TCP-Attempt-SPAM
+z*z+z+z*Z0,Botnet-TCP-Established-SPAM
z*Z0H0z*Z+Z,Botnet-TCP-Established-SPAM
"s,s,B,B,b,b",Botnet-TCP-Attempt-SPAM
"s,S00S+s,s,",Botnet-TCP-Attempt-SPAM
",S.S+S*s+s*",Botnet-TCP-Attempt-SPAM
s+s+B+B+S.S,Botnet-TCP-Attempt-SPAM
V00,Botnet-UDP-DNS
"S*S,S*S,",Botnet-TCP-Attempt-SPAM
"Y*Y,",Botnet-TCP-WEB-Established-SSL
y*,Botnet-TCP-WEB-Established
"s*s*B*s*S,S",Botnet-TCP-Attempt-SPAM
s*,Botnet-TCP-Attempt-SPAM
"*S+S,S*S,s,",Botnet-TCP-Attempt-SPAM
*S000S*S+S*,Botnet-TCP-Attempt-SPAM
s+S0B0s*s*s,Botnet-TCP-Attempt-SPAM
*s0S*B*s+s*,Botnet-TCP-Attempt-SPAM
s*s*s*s*S0s,Botnet-TCP-Attempt-SPAM
"S*B*s*B0S,",Botnet-TCP-Attempt-SPAM
"00S,B,S*S,S",Botnet-TCP-Attempt-SPAM
"S00S,s,",Botnet-TCP-Attempt-SPAM
"S,S*S,s+s+S",Botnet-TCP-Attempt-SPAM
S*,Botnet-TCP-Attempt-SPAM
"+s,S,S,s,S+",Botnet-TCP-Attempt-SPAM
"S*s*S,S*B*s",Botnet-TCP-Attempt-SPAM
U00,Botnet-UDP-DNS
s*s00,Botnet-TCP-Attempt-SPAM
s*B*,Botnet-TCP-Attempt-SPAM
"S000S,",Botnet-TCP-Attempt-SPAM
z*Z0,Botnet-UDP-DNS
S*S.S*S.,Botnet-TCP-Attempt-SPAM
R00,Botnet-UDP-DNS
"B*S,S*s*S,",Botnet-TCP-Attempt-SPAM
"*s*s*S,S*s*",Botnet-TCP-Attempt-SPAM
0S*S0,Botnet-TCP-Attempt-SPAM
"S*S000S,S*",Botnet-TCP-Attempt-SPAM
*i*i+i+z*z+,Botnet-TCP-Established-HTTP-Ad
0s*,Botnet-TCP-Attempt-SPAM
s0S*,Botnet-TCP-Attempt-SPAM
e*v0,Botnet-TCP-Attempt-SPAM
W*S.,Botnet-TCP-Attempt-SPAM
S*W.,Botnet-TCP-Attempt-SPAM
"S*s+s*S,S*S",Botnet-TCP-Attempt-SPAM
"W*S,S*",Botnet-TCP-Attempt-SPAM
s0,Botnet-TCP-Attempt-SPAM
"00S,S.",Botnet-TCP-Attempt-SPAM
",s,B,S,s,S.",Botnet-TCP-Attempt-SPAM
",b,B,b,B,s,",Botnet-TCP-Attempt-SPAM
s*s*S0s*,Botnet-TCP-Attempt-SPAM
S+s+s+s*w+B,Botnet-TCP-Attempt-SPAM
s00,Botnet-UDP-DNS
v*,Botnet-UDP-Attempt-DNS
v*,Botnet-UDP-DNS
s0b0,Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
S*,Botnet-TCP-Attempt-SPAM
S.,Botnet-TCP-Attempt-SPAM
S*,Botnet-TCP-Attempt-SPAM
s*,Botnet-TCP-Attempt-SPAM
s*,Botnet-TCP-Attempt-SPAM
r*s00,Botnet-TCP-Attempt-SPAM
s0S*,Botnet-TCP-Attempt-SPAM
"y.I.Z,Z.Z,z",Botnet-TCP-Not-Encrypted-SMTP-Private-Proxy
"S,s,B,B,b,B",Botnet-TCP-Attempt-SPAM
R*,Botnet-TCP-Attempt-SPAM
"b,W0",Botnet-TCP-Attempt-SPAM
w0,Botnet-UDP-DNS
B*,Botnet-TCP-Attempt-SPAM
S+,Botnet-TCP-Attempt-SPAM
s00s*,Botnet-TCP-Attempt-SPAM
s00s*S*,Botnet-TCP-Attempt-SPAM
"W,",Botnet-TCP-Attempt-SPAM
Z00R*,Botnet-UDP-DNS
0S*S*,Botnet-TCP-Attempt-SPAM
B*,Botnet-TCP-Attempt-SPAM
00,Botnet-TCP-Attempt-SPAM
R0,Botnet-UDP-DNS
"S,",Botnet-TCP-Attempt-SPAM
b*,Botnet-TCP-Attempt-SPAM
S*S.S*,Botnet-TCP-Attempt-SPAM
S+S*s*,Botnet-TCP-Attempt-SPAM
s*s*S0s*s*,Botnet-TCP-Attempt-SPAM
v*s*S000,Botnet-TCP-Attempt-SPAM
s0,Botnet-TCP-Attempt-SPAM
F*s*,Botnet-TCP-Attempt-SPAM
v*v00,Botnet-UDP-DNS
"W0W,",Botnet-UDP-DNS
U00,Botnet-UDP-DNS
u0Z+,Botnet-UDP-DNS
i*u0Z+,Botnet-UDP-DNS
z0W+,Botnet-UDP-DNS
S0,Botnet-TCP-Attempt-SPAM
I*z0,Botnet-UDP-Attempt-DNS
I*z0,Botnet-UDP-DNS
"s+s*S,S*s*s",Botnet-TCP-Attempt-SPAM
+e+I+Z0i0i0,Botnet-TCP-CC-Custom-Encryption
V00,Botnet-UDP-DNS
A*,Botnet-UDP-DNS
00,Botnet-TCP-Attempt-SPAM
s*,Botnet-TCP-Attempt-SPAM
"s*s*s*S,S*",Botnet-TCP-Attempt-SPAM
